page,rows_per_column,position,jsfx_slider,vst3_id,ui_name
Kick,8,1,11,slider011,Kick Level
Kick,8,2,12,slider012,Kick Tune
Kick,8,3,13,slider013,Kick Punch Amount
Kick,8,4,14,slider014,Kick Punch Time
Kick,8,5,15,slider015,Kick Decay
Kick,8,6,16,slider016,Kick Curve
Kick,8,7,17,slider017,Kick Click Level
Kick,8,8,18,slider018,Kick Noise Tone
Kick,8,9,67,slider067,Kick Click Phase
Kick,8,10,78,slider078,Kick Curve Pitch
Kick,8,11,79,slider079,Kick Curve Pitch Decay
Kick,8,12,100,slider100,Kick Noise Decay
Kick,8,13,101,slider101,Kick Noise Level
Kick,8,14,102,slider102,Kick LFO Volume Depth
Kick,8,15,103,slider103,Kick LFO Frequency
Kick,8,16,104,slider104,Kick LFO Wave
Kick,8,17,105,slider105,Kick LFO Pitch Depth
Kick,8,18,106,slider106,Kick LFO Delay
Kick,8,19,107,slider107,Kick Body Drive
Kick,8,20,138,slider138,Kick Body Drive Mix
Kick,8,21,140,slider140,Kick Body Phase
Kick,8,22,141,slider141,Kick LFO Smooth
Kick,8,23,142,slider142,Kick LFO Wave Shape
Kick,8,24,148,slider148,Kick Click Tone
Kick,8,25,149,slider149,Kick Click Resonance
Kick,8,26,150,slider150,Kick Comp Threshold
Kick,8,27,151,slider151,Kick Comp Ratio
Kick,8,28,152,slider152,Kick Comp Gain
Kick,8,29,153,slider153,Kick Comp Attack (ms)
Kick,8,30,154,slider154,Kick Comp Release (ms)
Kick,8,31,155,slider155,Kick Comp Mix
Kick,8,32,247,slider247,Kick Engine
Snare 1,8,1,19,slider019,Snare Noise Tone Env
Snare 1,8,2,20,slider020,Snare Level
Snare 1,8,3,21,slider021,Snare Click Level
Snare 1,8,4,22,slider022,Snare Body Decay
Snare 1,8,5,23,slider023,Snare Body Tune
Snare 1,8,6,24,slider024,Snare Body Level
Snare 1,8,7,25,slider025,Snare Noise Decay
Snare 1,8,8,26,slider026,Snare Noise Level
Snare 1,8,9,27,slider027,Snare Noise Tone
Snare 1,8,10,28,slider028,Snare Noise Resonance
Snare 1,8,11,29,slider029,Snare Body Pitch Decay
Snare 1,8,12,92,slider092,Snare Noise Attack
Snare 1,8,13,94,slider094,Snare Noise Color
Snare 1,8,14,96,slider096,Snare Noise Degrade
Snare 1,8,15,98,slider098,Snare Filter Env Amount
Snare 1,8,16,108,slider108,Snare Drive
Snare 1,8,17,116,slider116,Snare Body Mid
Snare 1,8,18,117,slider117,Snare Body High
Snare 1,8,19,132,slider132,Snare Noise Ring Freq
Snare 1,8,20,133,slider133,Snare Noise Ring Depth
Snare 1,8,21,134,slider134,Snare Noise Ring Wave
Snare 1,8,22,135,slider135,Snare Noise Ring Smooth
Snare 1,8,23,136,slider136,Snare Noise Ring Delay
Snare 1,8,24,137,slider137,Snare Noise Ring Wave Shape
Snare 1,8,25,139,slider139,Snare Drive Mix
Snare 1,8,26,156,slider156,Snare Comp Threshold
