jsfx_slider,vst3_id,jsfx_name,ui_name,default,minimum,maximum,step,choices,page,source_occurrences
1,slider001,HiHat CH Decay,HiHat CH Decay,0.037999999999999999,0.005,0.2,0.001,,HiHat,6
2,slider002,HiHat OH Decay,HiHat OH Decay,1,0.05,1.5,0.01,,HiHat,7
3,slider003,HiHat Brightness,HiHat Brightness,0,0,1,0.01,,HiHat,11
4,slider004,HiHat Metal,HiHat Metal,0.71999999999999997,0,1,0.01,,HiHat,18
5,slider005,HiHat Level,HiHat Level,0.71999999999999997,0,5,0.01,,HiHat,19
6,slider006,Crash Decay,Crash Decay,0.70000000000000007,0.1,1,0.05,,Cymbal,6
7,slider007,Ride Decay,Ride Decay,0.80000000000000004,0.1,1,0.05,,Cymbal,6
8,slider008,Cymbal Brightness,Cymbal Brightness,0.55000000000000004,0,1,0.01,,Cymbal,8
9,slider009,Crash Level,Crash Level,1.4000000000000001,0,4,0.01,,Cymbal,19
10,slider010,Ride Level,Ride Level,2,0,4,0.01,,Cymbal,6
11,slider011,Kick Level,Kick Level,10,0,30,0.01,,Kick,27
12,slider012,Kick Tune,Kick Tune,0.26000000000000001,-2,1,0.01,,Kick,8
13,slider013,Kick Punch Amount,Kick Punch Amount,0.46000000000000002,0,1,0.01,,Kick,8
14,slider014,Kick Punch Time,Kick Punch Time,0.060999999999999999,0.001,0.2,0.001,,Kick,8
15,slider015,Kick Decay,Kick Decay,0.20000000000000001,0.001,1,0.001,,Kick,8
16,slider016,Kick Curve,Kick Curve,0.12,0,1,0.001,,Kick,10
17,slider017,Kick Click Level,Kick Click Level,0.30499999999999999,0,4,0.001,,Kick,9
18,slider018,Kick Noise Tone,Kick Noise Tone,0.79000000000000004,0,2,0.01,,Kick,9
19,slider019,Snare Noise Tone Env,Snare Noise Tone Env,0,0,10,0.01,,Snare 1,19
20,slider020,Snare Level,Snare Level,11,0,50,0.01,,Snare 1,21
21,slider021,Snare Click Level,Snare Click Level,0.5,0,2,0.01,,Snare 1,10
22,slider022,Snare Body Decay,Snare Body Decay,0.02,0,1,0.001,,Snare 1,10
23,slider023,Snare Body Tune,Snare Body Tune,0,-3,1,0.01,,Snare 1,10
24,slider024,Snare Body Level,Snare Body Level,0.59999999999999998,0,1,0.01,,Snare 1,10
25,slider025,Snare Noise Decay,Snare Noise Decay,0.050000000000000003,0,1,0.001,,Snare 1,10
26,slider026,Snare Noise Level,Snare Noise Level,0.80000000000000004,0,6,0.01,,Snare 1,10
27,slider027,Snare Noise Tone,Snare Noise Tone,0.59999999999999998,-1,1,0.01,,Snare 1,12
28,slider028,Snare Noise Resonance,Snare Noise Resonance,0.55000000000000004,0,1,0.01,,Snare 1,12
29,slider029,Snare Body Pitch Decay,Snare Body Pitch Decay,0.28000000000000003,0,1,0.01,,Snare 1,10
30,slider030,Clap Level,Clap Level,2.3999999999999999,0,10,0.01,,Clap,27
31,slider031,Clap Decay,Clap Decay,0.16500000000000001,0.02,0.6,0.005,,Clap,8
32,slider032,Clap Tone,Clap Tone,0.5,0,1,0.01,,Clap,20
